Bestand,Similarity,Pad 1,Pad 2,Nieuwste Versie,Tijdsverschil (uur),Datum 1,Datum 2
config.h,0.4122,mess/zip/PluginAutoFit/include/config.h,mess/zip/PluginAutoFit/include/bak/config.h,mess/zip/PluginAutoFit/include/config.h,695.7,2026-01-20 12:52:01,2025-12-22 13:07:30
config.h,0.3879,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/config.h,mess/zip/PluginAutoFit/include/bak/config.h,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/config.h,527.4,2026-01-13 12:30:14,2025-12-22 13:07:30
morton_utils.cu,0.3732,mess/zip/PluginAutoFit/bak2/morton_utils.cu,mess/zip/PluginAutoFit/src/bak/morton_utils.cu,mess/zip/PluginAutoFit/src/bak/morton_utils.cu,0.0,2026-01-19 11:31:05,2026-01-19 11:31:05
point_types.h,0.3179,mess/zip/PluginAutoFit/include/point_types.h,mess/zip/PluginAutoFit/PluginAutoFit/include/point_types.h,mess/zip/PluginAutoFit/include/point_types.h,73.0,2026-01-16 15:12:30,2026-01-13 14:10:16
morton_utils.cu,0.3091,mess/zip/PluginAutoFit/bak2/morton_utils.cu,mess/zip/PluginAutoFit/src/morton_utils.cu,mess/zip/PluginAutoFit/bak2/morton_utils.cu,142.9,2026-01-19 11:31:05,2026-01-13 12:34:15
autofit_impl.h,0.2584,mess/zip/PluginAutoFit/include/autofit_impl.h,mess/zip/PluginAutoFit/jules0/include/autofit_impl.h,mess/zip/PluginAutoFit/include/autofit_impl.h,191.9,2026-01-21 12:24:04,2026-01-13 12:30:42
k_adaptive_rdv_voter.cu,0.2569,mess/zip/PluginAutoFit/bak2/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/src/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/bak2/k_adaptive_rdv_voter.cu,138.3,2026-01-19 11:31:05,2026-01-13 17:12:58
k_adaptive_rdv_voter.cu,0.1935,mess/zip/PluginAutoFit/bak2/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/src/bak/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/bak2/k_adaptive_rdv_voter.cu,327.8,2026-01-19 11:31:05,2026-01-05 19:42:37
autofit_impl.h,0.1319,mess/zip/PluginAutoFit/jules0/include/autofit_impl.h,mess/zip/PluginAutoFit/include/bak/autofit_impl.h,mess/zip/PluginAutoFit/include/bak/autofit_impl.h,73.1,2026-01-13 12:30:42,2026-01-16 13:35:49
types.h,0.1247,mess/zip/PluginAutoFit/include/types.h,mess/zip/PluginAutoFit/legacy/chatGPT_old/include/types.h,mess/zip/PluginAutoFit/include/types.h,1826.3,2026-01-19 13:38:32,2025-11-04 11:20:12
k_adaptive_rdv_voter.cu,0.1017,mess/zip/PluginAutoFit/bak2/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/legacy/src/k_adaptive_rdv_voter.cu,mess/zip/PluginAutoFit/bak2/k_adaptive_rdv_voter.cu,69.9,2026-01-19 11:31:05,2026-01-16 13:35:24
otndc.h,0.0896,mess/zip/PluginAutoFit/legacy/src/ch1b/include/otndc.h,mess/zip/PluginAutoFit/legacy/src/ch1a/include/otndc.h,mess/zip/PluginAutoFit/legacy/src/ch1a/include/otndc.h,0.2,2026-01-16 13:22:04,2026-01-16 13:35:26
